"name","address","phone","rating","number_of_reviews"
"Dr. Ujjval Mehrotra","Araghar Chowk, Kushal Plaza, East Rest Camp, Guru Nanak Vihar, Race Course, Dehradun, Uttarakhand 248001, India","N/A","No rating available","No reviews"
"Dr. P.k. Panwar","82HF+R2J, Ballupur Rd, Mitralok Colony, Akashdeep Colony, Khurbura Mohalla, Dehradun, Uttarakhand 248001, India","095571 96074",5,1
"Dr. Bharat Bhushan Sethi, New Delhi","111, Vijay Vihar Phase II, Avantika, Pocket D, Sector 1, Rohini, Delhi, 110085, India","098180 25045","No rating available","No reviews"
"Dr Anubha Grover (Dental Clinic)","Shop 28, CSC 5, Sector 9, Rohini, Rajapur, Pocket 12, Sector 9, Rohini, Delhi, 110085, India","098102 40863",4.9,46
"Bright Smile Dental Clinic","98 A, Block CD, Dakshini Pitampura, Pitampura, New Delhi, Delhi, 110034, India","098114 79332",4.9,9
"Advanced Dental Solutions","D-14/19, Maharaja Agrasen Marg, Sector 3, Sector 3D, Rohini, Delhi, 110085, India","098999 12606",4.8,26
"Clove Dental","next to Krishna Jwellers, Pocket 21, Sector 3, Rohini, Delhi, 110085, India","095992 16884",4.9,872
"kapil dental clinic & implant center","a-1/681, Sector 6 Rd, Pocket 1, Sector 6A, Rohini, New Delhi, Delhi, 110085, India","098117 33823",4.8,589
"Smilemax Dental Clinic","SmileMax Dental, WZ-548-B, opposite Sanik vihar gate no.1 park, Rani Bagh, Rishi Nagar, Pitampura, New Delhi, Delhi, 110034, India","088002 11141",5,67
"Clove Dental","Maharaja Agrasen Marg, above Yes Bank, Pocket 2, Sector 7A, Rohini, Delhi, 110085, India","011 6927 1061",4.9,1123
"Faith Dental","Pocket A-1, Flat no. 4, first floor, Pradeep Bhatia Marg, near M2k Cinemas, Pocket 1, Sector 7, Rohini, Delhi, 110085, India","099117 29999",5,45
"Dantam - Dental & Aesthetics Clinic [Dr. Shubhra's] | Best Dental Clinic Pitampura","11, First Floor, Tarun Enclave, Pitampura, Delhi, Parwana Rd, Deepali, Pitampura, New Delhi, Delhi, 110034, India","099714 66087",4.9,63
"Dr. Gupta's Dental Clinic","Dr Gupta's Dental & Braces Clinic- C 7/97, Ground Floor, Sector 8, Rohini, Pocket 4, Sector 8C, Rohini, Delhi, 110085, India","099102 57800",4.3,151
"Best Plastic Surgeon in Rohini, Pitampura, Delhi - Tandon Clinic","Pocket C8 599, pocket C8,Bhagawan Mahavir Marg Sector 8, Rohini Near Madhuban Chowk Entry into DDA flats from gate, opposite Metro Pillar Number 374, Pocket 8, Sector 8C, Rohini, New Delhi, Delhi, 110085, India","096502 50665",4.6,19
"Illumident-Dental Surgery and Implants Centre","1067, Block E, Saraswati Vihar, Pitampura, Delhi, 110034, India","098911 13964","No rating available","No reviews"
"Dr Bhatia's Dental Care","134, Anand Vihar, Landmark:, near Vishal school, Pundrik Vihar, Pitampura, Delhi, 110034, India","088606 92858",5,352
"Dr. Shweta's Dental and Implants Clinic | Best Dentist & Implants Clinic in Sector 8 Rohini","Madhuban Chowk, 579/C-8, opposite Metro Pillar Number 373, Pocket 8, Sector-8, Rohini, Delhi, 110085, India","096502 26303",4.8,108
"Family Dental Clinik","North Ex Mall, A 204, North, Rajapur, Pocket 18, Sector 9, Rohini, New Delhi, Delhi, 110085, India","098189 34383",5,51
"Clove Dental","Ground Floor, Block E, Saraswati Vihar, Pitampura, New Delhi, Delhi, 110034, India","095992 16884",4.9,458
"FUTURIS HEALTH----- DENTAL, IMPLANT & BRACES CLINIC","65, Shakti Vihar, Pitampura, Delhi, 110034, India","098995 45852",5,34
"Dr Tarun's Dental - Dentist","Near Crpf School, B-65, Ground Floor, Prashant Vihar, Sector 14, Rohini, New Delhi, Delhi, 110085, India","093151 01096",4.9,84
"INNODENT (Innovative Dentistry)","GD-23, Shaheed Jagat Narayan Marg, GD Block, Dakshini Pitampura, Pitampura, Delhi, 110034, India","088607 91111","No rating available","No reviews"
"Sparkling Smile Aesthetics Dental Studio","D-63, New Multan Nagar, near paschim Vihar metro station, New Multan Nagar, Shakur Basti, Delhi, 110056, India","085954 81991","No rating available","No reviews"
"Preet Dental","A-3/264, First Floor, Police Colony, A 3 Block, Paschim Vihar, Delhi, 110063, India","098115 56609",4.4,57
"Dental Excellence","B-5/73, Sunday bazar road near MCD primary school,, sector-11, Rohini, Block C, Pocket 5, Sector 11, Rohini, Delhi, 110085, India","099534 30644",5,1
"Clove Dental","next to Jindal Store, Block C, Pocket 5, Sector 11, Rohini, Delhi, 110085, India","095992 16884",4.9,750
"REGAIN DENTAL SPECIALITY CLINIC","D-3/104,1ST FLOOR,PROGRESSIVE CHAMBERS, D-BLOCK, CENT.MKT, opp. Pvr Prashant Vihar Road, Prashant Vihar, Sector 14, Rohini, Delhi, 110085, India","098111 59163",4.8,42
"Clove Dental","Pocket KD Market, above Dominos, above Domino's, Block KD, Dakshini Pitampura, Pitampura, Delhi, 110034, India","011 6927 1061",4.9,468
"DENTAL HIVE a unit of (Dr Gargs Dental Care & Cure Centre)","45,First Floor,CSC DDA Market AP Block,Pitampura, Block AP, Poorvi Pitampura, Pitampura, New Delhi, Delhi, 110034, India","N/A",4.6,41
"Vardhman Dental Care","114, 115 & 117; 1st floor, Vardhaman Shopping Complex, Rohit Kunj, market, Pitampura, Delhi, 110034, India","082851 01213",4.9,72
"C.S.B Multispeciality Dental Clinic;","G-18/41, Dr. KN Katju Marg, Sector 15, Pocket 18, Sector 15G, Rohini, Delhi, 110089, India","092123 90005",4.8,120
"Dental Works","A-3/265, First Floor, above Caratlane showroom, opposite Jain Mandir, Police Colony, A 3 Block, Paschim Vihar, Delhi, 110063, India","078278 18169",4.9,112
"Sarin Dental Clinic","Shop No.103, Aditya Complex, Adarsh Nagar, Block AP, Poorvi Pitampura, Pitampura, Delhi, 110034, India","092138 12900","No rating available","No reviews"
"Dr.Chawla's Pearl Dental Clinic","Shop No 12,DDA Market,Rajdhani Enclave, Near Mahindra park chowk(Ranibagh),Pitampura, Shree Nagar, Rajdhani Enclave, Pitampura, Delhi, 110034, India","099960 36515",5,2
"Dental Care N Cure Clinic","D2, 1st Floor, Shubham Enclave, Jwala Heri Main Rd, opp. District Park, Shubham Enclave, Reserve Bank Enclave, Paschim Vihar, Delhi, 110063, India","093109 99214",5,283
"Dr. Kukreja's Dental Care","Rajdhani Enclave, Shree Nagar, Rajdhani Enclave, Pitampura, Delhi, 110034, India","099999 44222",4.2,5
"Clove Dental","next to Indian Bank, Guru Harkishan Nagar, Paschim Vihar, New Delhi, Delhi, 110063, India","011 6927 1059",4.9,570
"Goel Dental & Orthodontic Centre","GH-14/113, Opposite Guru Harkishan Nagar, Nangloi Saiyed Rd, GH 14, Block GH 14, Paschim Vihar, Delhi, 110087, India","098916 79400",4.1,9
"WISDOM BITES DENTAL CLINIC & IMPLANT CENTER","ND 10, Block ND, Dakshini Pitampura, Pitampura, New Delhi, Delhi, 110034, India","099103 73736",4.8,40
"SR Dental & Implant Centre","Vardhman Hospital,, Sector 15, Sector 15C, Rohini, Delhi, 110085, India","N/A","No rating available","No reviews"
"Braces & Dental Clinic","NP-99A, First Floor,, Maurya Enclave, (Near Gopal Mandir), Pitampura, Gopal Mandir Marg, Block NP, Poorvi Pitampura, Pitampura, Delhi, 110088, India","098111 76355",4.2,11
"D'Care Skin & Dental centre","NP 154 ground floor, opposite JP Market, MP Block, Block NP, Poorvi Pitampura, Pitampura, Delhi, 110034, India","093104 88406",4.7,26
"Clove Dental","opp. Gujarati Namkeen, near Manav Chowk, Sector 15, Pocket 10, Sector 15D, Rohini, New Delhi, Delhi, 110089, India","011 6927 1061",4.9,740
"Dental Que","55, W Ave Rd, West Punjabi Bagh, Punjabi Bagh, New Delhi, Delhi, 110026, India","011 4007 3363",4.3,53
"Dr. Kukreja's Super Speciality Dental and Implant Centre","105-106, MP Mall, MP Block, Block UP, Poorvi Pitampura, Pitampura, Delhi, 110034, India","N/A",4.8,195
"Clove Dental","Gopal Mandir Marg, Block QP, Poorvi Pitampura, Pitampura, New Delhi, Delhi, 110034, India","N/A",4.9,466
"Dental Clinic & Dental Implants Centre | Dr Arun Grover","1, next to saral diagnostic centre, next to Gate No 1, Shakti Vihar, Pitampura, New Delhi, Delhi, 110034, India","098108 50226",5,40
"HealthyGo .","Plot no- 31-32, Wazir complex, I, Rohtak Rd, Block 4 ABC, Nangloi Extension, Nangloi, New Delhi, Delhi, 110041, India","099583 63983",4.9,75
"Delhi Dental Hub","Best Dentist, 9, State Bank Nagar, Paschim Vihar, Delhi, 110063, India","098913 73779",4.8,514
"Clove Dental","opp. Central Market, next to Hair Mystery, West Punjabi Bagh, Punjabi Bagh, Delhi, 110026, India","088002 55338",4.9,808
"Simplismile","30/42 Punjabi Bagh West, Road No. 42, West Punjabi Bagh, Punjabi Bagh, Delhi, 110026, India","011 4246 6940",5,9
"Dental World - Dental Clinic in Delhi | Root Canal Treatment in Delhi | Invisible Braces & Invisalign In Delhi","No. 57, Road No. 42, West Punjabi Bagh, Punjabi Bagh, New Delhi, Delhi, 110026, India","098102 24317",4.9,239
"Pearl 32 Dental Spa & Cosmetic Clinic","Dr. Dilip Sethia, Railway Gate, Anupam Building, 8, Assam Trunk Rd, Bharalumukh, Guwahati, Assam 781009, India","094354 47788",4.5,153
"Metropolis Dental Clinic & Implant Center","Kachari Basti Rd, South Sarania, Lachit Nagar, Guwahati, Assam 781007, India","088110 82782",4.2,16
"Crystal Smile Dental Aesthetic & Orthodontic Clinic","Krine Vista Opposite Anil Plaza, Ananda Nagar, Guwahati, Assam 781005, India","076620 45612",4.4,57
"Smartcity Dental Clinic","DEBABRATA ENCLAVE, Lokhra Rd, near V-Mart, opp. Subham Garden, Bhaskar Nagar, Gopinath Nagar, Binowa Nagar, Kala Pahar, Guwahati, Assam 781018, India","099576 75780",5,25
"Denta Life Multispeciality Dental Clinic","Pragati Tower, Lokhra Rd, opposite Vishal Mega Mart Colony Bazar area, Bhaskar Nagar, Gopinath Nagar, Binowa Nagar, Kala Pahar, Guwahati, Assam 781018, India","094355 58286",4.9,40
"omkar gift center","5P2H+3QQ, Dhirenpara, Guwahati, Assam 781009, India","093656 48151","No rating available","No reviews"
"R S Dental Clinic","M Market, Dhirenpara, A K Deb Road, 25, Dhirenpara, Fatasil Ambari, Guwahati, Assam 781025, India","060018 68643",4.4,46
"Apollo Dental Dispur","5P3Q+GVC, Binowa Nagar, Kala Pahar, Guwahati, Assam 781018, India","N/A","No rating available","No reviews"
"City Dental Clinic","Binowa Nagar, Kala Pahar Guwahati, Assam 781001, near Indian Oil Petrol Pump ,Das Service Station, Binowa Nagar, Kala Pahar, Guwahati, Assam 781018, India","098640 13770",4.6,109
"Healing Aid Medicine & Wellness Center","4QQ2+WWF, Odalbakra, Kahilipara, Guwahati, Assam 781034, India","N/A","No rating available","No reviews"
"Dr. Nandita's Dentcare clinic","4QH2+6MH, Sonaighuli, Guwahati, Assam 781034, India","N/A","No rating available","No reviews"
"Confident Dental Clinic","AK Dev Rd, near Bajaj Showroom, near SBI ATM, Katahbari, Dhirenpara, Guwahati, Assam 781035, India","N/A",5,22
"MANASHI DENTAL CARE","Kahilipara Main Rd, Jatia, Kahilipara, Guwahati, Assam 781006, India","N/A","No rating available","No reviews"
"Klove","176, FA Rd, Kumarpara, Guwahati, Assam 781001, India","N/A",4.6,21
"Dr Nikita Modi Dental Clinic Guwahati | Best Dentist in Guwahati, Athgaon","1st Floor, Ahmed Complex, above cake.com, Kumarpara, panchali, Guwahati, Assam 781009, India","070023 13756",5,107
"AGARWAL DENTAL CARE & TOBACCO CESSATION CENTRE","Ulubari, Guwahati, Assam 781008, India","N/A",3,2
"Dental vacancy","Kotabari 1, AKHK Medicos, No Masjid, GARCHUK, Guwahati, Assam 781035, India","N/A","No rating available","No reviews"
"Dr. Pawan's Bright Smile Dental Care | Best Dentist in Guwahati, Bharalumukh","F A Road, Kumarpara Pachali, Bharalumukh 1st floor, House No. 184/3, Rehmania Building, above Car Decora, Bharalumukh, Guwahati, Assam 781001, India","070020 84818",4.9,73
"Dr rounak Jains dental centre/ braces implants/ best dentist guwahati","1st floor, Siddha Point, opp. Marwari Hospital & Research Centre, Athgaon, Guwahati, Assam 781001, India","088129 69559",4.9,629
"Swagat Dental Clinic & Implant Centre","Swagat Endolaparoscopic Surgical Research Institute, A Unit of Swagat Hospital, Assam Trunk Rd, Santipur, Guwahati, Assam 781009, India","070026 86709",4.9,25
"S-thetix Dental (Guwahati)","R. K. Choudhary Road, Bharalumukh, Guwahati, Assam 781009, India","N/A",5,157
"Dr.Kuhina's Dental and Skin Clinic","Lokhra -Lalganesh Road, Haricharan Das Path, near City Elite School, Lokhra, Guwahati, Assam 781034, India","086384 01476",4.9,57
"Care32 Dental Clinic","no.7, Care32 Dental Clinic, near Railway Gate, Bharalumukh, Guwahati, Assam 781009, India","N/A",5,10
"Lions Club Dental Care Unit","Goshala, Lions Eye Hospital & Dental Care Unit, near KC Das College, Oppostie, Guwahati, Assam 781008, India","070860 12109",5,23
"Serenity Family Dentistry","1 st floor, Sharma and kalita assocites building, Assam Trunk Rd, Bharalumukh, Guwahati, Assam 781009, India","078380 01589",4.9,98
"Dr. Sumi Choudhary- Dentist in Guwahati","Dental plaza ground floor Raj, DGP Office, Dr BK Kakati Rd, Ulubari, Guwahati, Assam 781007, India","N/A",5,1
"Orthodontist","Dr Keshans Clinic, Dr BK Kakati Rd, South Sarania, Ulubari, Guwahati, Assam 781007, India","N/A","No rating available","No reviews"
"Capital Healthcare Dental Clinic","2nd floor, Capital health care, Madhuban Plaza, Lokhra Rd, Lokhra, Guwahati, Assam 781040, India","094359 73300",5,41
"DR PAUL'S DENTAL CHAMBER","P.P. ROAD ,REHABARI , MILANPUR, HOUSE NO 55, near PEARL VALLEY SCHOOL, Manipuri Rajbari, Ulubari, Guwahati, Assam 781008, India","084860 65451",5,4
"The Dental Care Clinic","Allahabad Bank Annexe Hem Baruah Road opp. ASTC Bus Stand, Machkhowa, Guwahati, Assam 781009, India","069012 54950",5,1
"Dr. Nabanita Baruah ( Dental Superspeciality Clinic ) - Best Orthodontist In Guwahati","GS Rd, Srimantapur, Chilarai Nagar, Guwahati, Assam 781006, India","088222 01201",5,4
"Aesthetics & Smiles Makeover Clinic (Medicity Guwahati)","AM Rd, near Arya Hospital, Manipuri Rajbari, Ulubari, Guwahati, Assam 781008, India","084864 83479",4.8,325
"Bhagadutta Path","4QRF+6HG, Janakpur Rd, Kahilipara, Guwahati, Assam 781019, India","N/A",5,2
"Dr Sharad Jhingran’s Dental Clinic","KC, S Chowdhury Rd, Tokobari Satra, Guwahati, Assam 781008, India","099540 85156",5,4
"The North East Dental Lab - Best Dental Lab in Guwahati Assam","Chila Rai Nagar Path,1st Floor, Opp. ICICI Bank, GS Rd, Bhangagarh, Guwahati, Assam 781005, India","0361 246 1776",3.8,6
"The Urban Dentist | Braces & Implant Specialists","3rd Floor, NH Centre Point Building, GS Rd, opposite Bora Service Station Complex, South Sarania, Ulubari, Guwahati, Assam 781007, India","097072 98280",4.9,211
"The dental clinic","ABC, Near Rajiv Bhawan, Bhangagarh, Guwahati, Assam 781028, India","078969 45427","No rating available","No reviews"
"CareVale Dental - Dental Clinic in Guwahati","Boraj Arcade, GS Rd, opposite VIP showroom, South Sarania, Ulubari, Guwahati, Assam 781007, India","095083 92120",4.9,40
"Smart City Dentistry","AK Azad Rd, opposite City Heart Hotel, opposite Talukdar chat house, Rehabari, Guwahati, Assam 781008, India","091136 04185",4.9,118
"Modern Dental Clinic","Kanaklata Path, Hatigaon, Guwahati, Assam 781038, India","N/A",5,1
"Precision Dental Clinic & Implant Centre","1st Floor, Roushan Complex, Dr BK Kakati Rd, near Ulubari, Chariali, Ulubari, Guwahati, Assam 781007, India","075768 50744",4.5,19
"Regional Dental Clinic","3rd Floor, Bordoichila Bhawan, Shillong Road, Bhangagarh, Guwahati, Assam 781032, India","N/A",5,1
"Dr. Aalisha Kanodia","Orthodontic Centre and Dental Clinic, 2nd floor, Prag Plaza Complex 100, Shillong Road, Bhangagarh, Guwahati, Assam 781005, India","099026 39295",5,116
"METRO DENTAL CARE","Hatigaon, NOTBOMA , Near LP school,Guwahati,Assam,781034,India Hatigaon, Near L.P. School, Notboma, Guwahati, Assam 781034, India","060034 90599","No rating available","No reviews"
"Tooth Buddy Children's Dental Care","Room no.02, First floor, Prag Plaza, GS Rd, Bhangagarh, Guwahati, Assam 781005, India","077807 28794",4.9,52
"Solitaire Dental Clinic & Implant Centre","Bora Service Station Complex, by lane, near allen solley show room, South Sarania, Lachit Nagar, Guwahati, Assam 781007, India","060027 89594",5,15
"Dr. Kaushik Bhowmick","Surekha Square, Lachitnagar, South Sarania, North Guwahati, Guwahati, Assam 781007, India","088849 02011",5,5
"Dr.Dipjyoti Baruah (MDS, Orthodontist)","Surekha square, 4th floor, Lachit Nagar, South Sarania, Ulubari, Guwahati, Assam 781007, India","091011 86983",4.9,264
"Dr. Nipan Patgiri DENT-TALES Dental Clinic & Implant Centre","1st floor, B2, AGP complex, Assam Trunk Rd, adjacent Icici bank, Opposite Police Reserve, Guwahati, Assam 781001, India","097400 12832",5,11
"স্বাগতম বর্ণালী বিউটি পার্লাৰ","4P95+685, AK Dev Rd, Garchuk Chariali, Dhirenpara, Guwahati, Assam 781035, India","N/A","No rating available","No reviews"
"JAIN DENTAL CLINIC","386 - A, near hotel Basant, Krishna Nagar, Adarsh Nagar, Jalandhar, Punjab 144001, India","098140 02766",4.9,1535
"CHEEMA DENTAL IMPLANT CENTRE","213, Model Town, Jalandhar, Punjab 144003, India","098156 03002",4.7,77
"Aggarwal Dental Supply Co. (Regd.)","8HHP+9G6, Mandi Road, Fentonganj, Jalandhar, Punjab 144001, India","097818 88797",5,4
"Dr Goyal's Dental Implants Clinic Centre","403, Lajpat Nagar, Shastri Nagar, Market, Jalandhar, Punjab 144001, India","097805 31898",3.7,6
"Kumar Dental Hospital","Kumar Dental Hospital, SCF102, Sri Guru Ravidass Chowk Market Makodar, Road, Abadpura, Model Town, Jalandhar, Punjab 144003, India","092167 65765",4.5,99
"Nu Face","Vijay Tower Civil Lines, Friends Theatre Road, 8HGG+CFQ, Friends Theatre Road, Kot Pakshian, Pacca Bagh, Jalandhar, Punjab 144001, India","0181 227 6246",5,3
"Dental Tree Jalandhar","C/o JASWANT HOSPITAL, Adjoining basti Adda Petrol Pump, Near Football Chownk Jalandhar City, 8HJ9+4XC, Adda Bastian, Shakti Nagar, Jalandhar, Punjab 144001, India","085690 00538",3.4,11
"Dr. Sabharwal's Tooth Clinic","368, opposite doordarshan kendra, Ajit Nagar, Shaheed Udham Singh Nagar, Jalandhar, Punjab 144001, India","084270 33997",5,238
"Malhan Dental Clinic","221, Mahavir Marg, Gujral Nagar Market , Near Mann Scanning Centre, Gujral Nagar, Jalandhar, Punjab 144001, India","0181 220 8221",4.6,66
"Clove Dental","adjacent to lakme salon, Near Football Chowk, Shakti Nagar, Jalandhar, Punjab 144002, India","011 6927 1068",4.9,679
"Modi Dental Clinic And Implant Centre","Nehru Garden Rd, Master Tara Singh Nagar, Jalandhar, Punjab 144001, India","094170 15322",4.9,66
"Dr. Anshuman Modi","Nehru Garden ROAD Jalandhar, Central Town, Jalandhar, Punjab 144001, India","094170 15322",5,11
"Kukreja Dental Clinic - Best Dental & Implant Clinic in Jalandhar","Sodal Rd, Near Chintpurni Mandir, Mai Hiran Gate, Charanjit Pura, Neela Mahal, Jalandhar, Punjab 144001, India","098158 00893",5,1
"Advanced Orthodontic Center","S.C.O 16, New Jawahar Nagar Market, Radio Colony, New Jawahar Nagar, Jawahar Nagar, Jalandhar, Punjab 144001, India","098141 07353",4.1,44
"Global Hospital - Best Cardiac Care & Neurologist Expert Hospital in Jalandhar & Knee, Spine, Ortho, Diabetes Treatment","Best Cardiac Care & Neurologist Expert Hospital, 10, Link Road, Abadpura, Model Town, Jalandhar, N M Town, Punjab 144003, India","098140 55576",3.7,241
"Clove Dental","above Westside, Model Town, Jalandhar, Punjab 144003, India","095992 16884",4.9,778
"Tru Smiles Dental & Implant Clinic","First Floor, Ganpati Tower, 30, near Aggarwal Dhaba, New Colony, Model Town, Jalandhar, Punjab 144001, India","088720 16177",5,1
"Apex Dental","Guru Teg Bahadur Nagar, GTB Nagar, Jalandhar, Punjab 144003, India","095012 91314",5,2
"Rajpal Dental Clinic","Rajpal Dental Clinic, Mata Rani chowk, near Model town, Prakash Nagar, market, Jalandhar, Punjab 144003, India","098156 12333",5,12
"smile 'n' shine dental care centre","sco 12-13,deol nagar market, nakoder road, near ekta gas agency, Dayal Nagar, Model House, Jalandhar, Punjab 144003, India","098555 12809","No rating available","No reviews"
"Smile Signature Multi-Speciality Dental Hospital - Oral and Maxillofacial Surgeon - Orthodontist in Jalandhar","Mithapur Rd, Ravindra Nagar, Cheema Nagar, Urban Estate phase II, Jalandhar, Punjab 144003, India","077092 55018",5,32
"Denta Care","Shop 3, Wadala Rd, opp. Pearl Hospital, 60 Garden Colony, Green Model Town, Jalandhar, Punjab 144001, India","098780 97574",5,8
"Cheema Dental Clinic","Powar Complex, Mithapur Rd, Mithapur Chowk, Makhan Shah Lubana Nagar, Bank Colony, Urban Estate phase II, Jalandhar, Punjab 144003, India","094179 81703",4.8,5
"Varma Dental Clinic","WC 118, GT Rd, opposite Civil Hospital, Opp.Civil Hospital, Ali Mohalla, Jalandhar, Punjab 144001, India","098140 61744",3.3,7
"Kumar Clinic","University Road, Ladhewali, 8HGG+CFQ, University Road, Kot Pakshian, Pacca Bagh, Jalandhar, Punjab 144001, India","0181 229 3902","No rating available","No reviews"
"Tyagmurti Goswami Ganeshdutt Missionary Hospital","Jalandhar - Nakodar Rd, Jyothi Chowk, Shastri Nagar, Lajpat Nagar, Jalandhar, Punjab 144001, India","0181 503 0520",3.4,24
"Dr.Mrs.Neelam Rana","Shastri Nagar, Lajpat Nagar, Jalandhar, Punjab 144006, India","N/A","No rating available","No reviews"
"Gandhi Dental Clinic","Milap Rd, Near Luv-Kush Chowk, Chahar Bagh, Central Town, Jalandhar, Punjab 144001, India","078379 90294",5,3
"Choudhary Dental, Implant And Cosmetic Clinic","183, Sikka Chowk, Shaheed Udham Singh Nagar, Jalandhar, Punjab 144001, India","084270 06177",5,12
"Dev Dental & Opticals","8HHC+C98, Islam Gunj, Shakti Nagar, Jalandhar, Punjab 144001, India","098153 56457",1,1
"Dr.Dinesh Aggarwal","Central Town, Jalandhar, Punjab 144001, India","N/A","No rating available","No reviews"
"Dr verma's dental clinic and implant centre","Wg 366 c neewain, New Suraj Ganj, Shaheed Udham Singh Nagar, Jalandhar, Punjab 144001, India","N/A",5,1
"Grace Dental Clinic","8HGM+X6H, Street Number 3, Central Town, Jalandhar, Punjab 144001, India","076960 00434",5,5
"Dr Varun Sabharwal","97, Shakti Nagar, Jalandhar, Punjab 144001, India","099885 35772",5,9
"Dr Ajay Arneja's Jalandhar Dental Implant Clinic","E.S 232 A, Makhdoompura Near Gurdwara Jalandhar City, Shastri Nagar, Lajpat Nagar, Jalandhar, Punjab 144001, India","099140 33108",5,21
"Modern Dental Clinic","Ohri Hospital Complex, Shaheed Udham Singh Nagar, Jalandhar, Punjab 144001, India","098149 12635",3,1
"Malhotra GARMANTS","Purani Kotwali, Band Market, Near Gur Mandi, Charanjit Pura, Jatpura, Jalandhar, Punjab 144008, India","095920 60270","No rating available","No reviews"
"Smile Gallery","8HHP+24P, Milap Rd, Gurudwara Market, Central Town, Jalandhar, Punjab 144001, India","N/A","No rating available","No reviews"
"DR. SKY DENTISTRY (Dr. Gagandeep S Gauba's)","320, near, Nakodar Chowk, Shastri Nagar, Lajpat Nagar, Jalandhar, Punjab 144003, India","077176 42334",5,9
"MK Dental Clinic","Nk-100, near Purani Sabzi Mandi, Charanjit Pura, Jatpura, Jalandhar, Punjab 144001, India","088376 63272",4.9,50
"Dr. Rahul Dental Studio","8HH8+FVP, opposite Lovely Dhaba, Near Football Chowk, Shakti Nagar, Jalandhar, Punjab 144002, India","N/A",5,1
"CROWNS Advanced Dental Care Clinic","Anand Palace Market, Partap Bagh, Fentonganj, Jalandhar, Punjab 144001, India","N/A",5,1
"Dr Satpal Sandhu (Sandhu Orthodontic Clinic)","SCO 193, near Mann Scanning Centre, Gujral Nagar, Jalandhar, Punjab 144001, India","N/A",5,1
"STUDIO dental","8HJ9+R7V, Jail Rd, near Laxmi mandir, Adarsh Nagar, Jalandhar, Punjab 144008, India","098721 48024","No rating available","No reviews"
"Gupta Dental Clinic & Implant Centre ( Naveen Gupta )","136, Gujral Nagar,Jalandhar,Punjab,144003,India 136, Gujral Nagar, Jalandhar, Punjab 144003, India","0181 220 3941",3.7,3
"Guru Nanak Mission Hospital","8H8H+M72, Mahavir Marg, Civil Line, Jalandhar, Punjab 144006, India","0181 245 8733",4,271
"Affordable Dental Implant clinic and Rct Center","Jalandhar - Nakodar Rd, opp. layllpur Khalsa school Ground, Opp. Khalsa School, Lajpat Nagar, Jalandhar, Punjab 144001, India","094639 32535","No rating available","No reviews"
"Dr Gursimran Singh Marwah ,Mds (Endodontist and Implantologist)","shop 4, Jalandhar - Nakodar Rd, Nakodar Chowk, Lajpat Nagar, Jalandhar, Punjab 144001, India","N/A","No rating available","No reviews"
"Kalyani Dental Clinic","8HHP+HQ3, Mandi Road, near Shani Dev Mandir, Fentonganj, Jalandhar, Punjab 144001, India","N/A","No rating available","No reviews"
"East West Enterprises","Charanjit Pura, Jatpura, Jalandhar, Punjab 144008, India","N/A","No rating available","No reviews"
"Swastha Dental Care","Vidhya Park, C-18, IAF Road, opp. Bhartiya Vidhya Bhawan, Jodhpur, Rajasthan 342011, India","094614 06532",4.9,76
"Manas Dental Clinic","D-52, near Medical College Auditorium, Sector-D, Shastri Nagar, Jodhpur, Rajasthan 342001, India","094604 60450",4.8,48
"Dr. Mohan Ram Latiyal- Dentist In Jodhpur","Varsha Dental Hospital And Implant Center B-54 , Saraswati Nagar, near Saint Anne's School, near Ambika Hospital 🏥, Basni First Phase, Landmark:, Jodhpur, Rajasthan 342005, India","097997 74276",5,1
"Varsha Dental Hospital & Implant Centre - Best Dental Hospital in Basni, Dentist & equipped Dental Hospital in Jodhpur","B-54, Saraswati Nagar Main Rd, near Ambika Hospital, Basni First Phase, Basni, Jodhpur, Rajasthan 342005, India","097997 74276",4.2,33
"Impressions Dental Clinic& Implant Centre-Best Dentist/Implantilogist/Root Canal Doctors/Tooth Cap/Dental Implant in Jodhpur","Vistar Yojana, Bhagat Ki Kothi Extension Scheme, J-4, Bhagat Ki Kothi, Jodhpur, Rajasthan 342001, India","094131 45672",5,1
"Dr Dushyant Soni","Bhagat Ki Kothi Extension Scheme, Heavy Industrial Area Phase II, Basni, Jodhpur, Rajasthan 342001, India","094131 45672",5,4
"Dr. Manish Bishnoi -Orthodontist","Aditiya Sapphire, opp. New High Court, near Shatabdi Circle, Prithviraj Nagar, Jodhpur, Rajasthan 342005, India","N/A",5,2
"Dr Bhanupriya 's Dental Hub","petrol pump, Lifeline hospital, Pali Rd, near blue city, Jhalamand, Jodhpur, Rajasthan 342005, India","N/A",5,2
"Dr. Kishore's Clinic","Sector-C, Basni, Jodhpur, Rajasthan 342005, India","094144 76793",4.2,5
"MultiSpeciality Dental Clinic, Dr Ratna Bansal","29, Golf Course Scheme Rd, near Chandra Imperial, Air Force Area, Jodhpur, Rajasthan 342011, India","N/A",5,7
"Aesthetic Dental Designs (Dental clinic)","3-c-63, Kudi BHAGTASANI, Sector 3, Kudi Bhagtasni Housing Board, Jodhpur, Rajasthan 342005, India","098296 53162",4.9,107
"New Satyam dental kanwar nagar","Kanwar Nagar, Jodhpur, Rajasthan 342005, India","094620 50444",5,142
